model,case_study,total_operations,syntax_valid_count,non_syntax_valid_count,syntax_validity_rate
claude-opus-4-7,ATM,22,22,0,100.0
claude-opus-4-7,Airport,5,5,0,100.0
claude-opus-4-7,CoCoME,41,41,0,100.0
claude-opus-4-7,Library Management,24,24,0,100.0
claude-opus-4-7,Loan Processing,22,22,0,100.0
gpt-5.4,ATM,22,22,0,100.0
gpt-5.4,Airport,5,5,0,100.0
gpt-5.4,CoCoME,41,41,0,100.0
gpt-5.4,Library Management,24,24,0,100.0
gpt-5.4,Loan Processing,22,22,0,100.0
gpt-5.4-mini,ATM,22,22,0,100.0
gpt-5.4-mini,Airport,5,5,0,100.0
gpt-5.4-mini,CoCoME,41,41,0,100.0
gpt-5.4-mini,Library Management,24,24,0,100.0
gpt-5.4-mini,Loan Processing,22,22,0,100.0
qwen3-coder-plus,ATM,22,22,0,100.0
qwen3-coder-plus,Airport,5,5,0,100.0
qwen3-coder-plus,CoCoME,41,38,3,92.6829
qwen3-coder-plus,Library Management,24,13,11,54.1667
qwen3-coder-plus,Loan Processing,22,15,7,68.1818
qwen3-coder-flash,ATM,22,12,10,54.5455
qwen3-coder-flash,Airport,5,3,2,60.0
qwen3-coder-flash,CoCoME,41,37,4,90.2439
qwen3-coder-flash,Library Management,24,20,4,83.3333
qwen3-coder-flash,Loan Processing,22,10,12,45.4545
