model,case_study,total_operations,execution_success_count,non_execution_success_count,execution_success_rate
claude-opus-4-7,ATM,22,18,4,81.8182
claude-opus-4-7,Airport,5,3,2,60.0
claude-opus-4-7,CoCoME,41,29,12,70.7317
claude-opus-4-7,Library Management,24,14,10,58.3333
claude-opus-4-7,Loan Processing,22,6,16,27.2727
gpt-5.4,ATM,22,13,9,59.0909
gpt-5.4,Airport,5,2,3,40.0
gpt-5.4,CoCoME,41,25,16,60.9756
gpt-5.4,Library Management,24,14,10,58.3333
gpt-5.4,Loan Processing,22,6,16,27.2727
gpt-5.4-mini,ATM,22,7,15,31.8182
gpt-5.4-mini,Airport,5,3,2,60.0
gpt-5.4-mini,CoCoME,41,23,18,56.0976
gpt-5.4-mini,Library Management,24,13,11,54.1667
gpt-5.4-mini,Loan Processing,22,6,16,27.2727
qwen3-coder-plus,ATM,22,13,9,59.0909
qwen3-coder-plus,Airport,5,1,4,20.0
qwen3-coder-plus,CoCoME,41,22,19,53.6585
qwen3-coder-plus,Library Management,24,7,17,29.1667
qwen3-coder-plus,Loan Processing,22,8,14,36.3636
qwen3-coder-flash,ATM,22,6,16,27.2727
qwen3-coder-flash,Airport,5,1,4,20.0
qwen3-coder-flash,CoCoME,41,21,20,51.2195
qwen3-coder-flash,Library Management,24,8,16,33.3333
qwen3-coder-flash,Loan Processing,22,3,19,13.6364
