model,case_study,total_operations,operations_with_intermediate_errors,repaired_after_feedback_count,unrepaired_after_feedback_count,repair_success_rate,avg_repair_rounds,avg_intermediate_errors
claude-opus-4-7,ATM,22,4,4,0,100.0,1.2273,0.2273
claude-opus-4-7,Airport,5,1,1,0,100.0,3.0,2.0
claude-opus-4-7,CoCoME,41,9,1,8,11.1111,1.561,0.561
claude-opus-4-7,Library Management,24,9,2,7,22.2222,2.0417,1.0417
claude-opus-4-7,Loan Processing,22,17,2,15,11.7647,1.9545,0.9545
gpt-5.4,ATM,22,14,9,5,64.2857,1.8636,0.8636
gpt-5.4,Airport,5,3,1,2,33.3333,2.2,1.2
gpt-5.4,CoCoME,41,23,12,11,52.1739,2.4878,1.4878
gpt-5.4,Library Management,24,11,4,7,36.3636,1.5417,0.5417
gpt-5.4,Loan Processing,22,20,5,15,25.0,3.4545,2.4545
gpt-5.4-mini,ATM,22,6,2,4,33.3333,1.6364,0.6364
gpt-5.4-mini,Airport,5,1,1,0,100.0,2.2,1.2
gpt-5.4-mini,CoCoME,41,23,10,13,43.4783,3.1707,2.1707
gpt-5.4-mini,Library Management,24,9,3,6,33.3333,2.25,1.25
gpt-5.4-mini,Loan Processing,22,19,3,16,15.7895,4.9091,3.9091
qwen3-coder-plus,ATM,22,11,7,4,63.6364,2.3182,1.3182
qwen3-coder-plus,Airport,5,3,1,2,33.3333,2.6,1.6
qwen3-coder-plus,CoCoME,41,15,6,9,40.0,2.1463,1.2195
qwen3-coder-plus,Library Management,24,10,5,5,50.0,1.8333,1.2917
qwen3-coder-plus,Loan Processing,22,6,3,3,50.0,1.5455,0.8636
qwen3-coder-flash,ATM,22,7,4,3,57.1429,2.1818,1.6364
qwen3-coder-flash,Airport,5,3,1,2,33.3333,1.4,0.8
qwen3-coder-flash,CoCoME,41,27,13,14,48.1481,2.878,1.9756
qwen3-coder-flash,Library Management,24,13,4,9,30.7692,3.875,3.0417
qwen3-coder-flash,Loan Processing,22,6,1,5,16.6667,1.5,1.0455
