sample_index,operation_id,case_study,operation_signature,model_file,cmd_file,has_generated_contract,definition_count,has_precondition,entity_count,enum_count,use_status,use_returncode,use_duration_sec,use_run_mode,use_stdout_file,use_stderr_file
1,Airport_manageDevice_createDevice,Airport,"createDevice(id: Integer, name: String, location: String, contactsid: Integer): Boolean",results\oclvm_sanity_check_114_strong\use_models\001_Airport_manageDevice_createDevice.use,results\oclvm_sanity_check_114_strong\use_cmds\001_Airport_manageDevice_createDevice.cmd,True,2,True,6,0,pass,0,1.3379,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\Airport_manageDevice_createDevice.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\Airport_manageDevice_createDevice.stderr.txt
2,Airport_manageUser_createStaff,Airport,"createStaff(id: Integer, name: String, pswd: String, phone: String, role: Integer, bossid: Integer): Boolean",results\oclvm_sanity_check_114_strong\use_models\002_Airport_manageUser_createStaff.use,results\oclvm_sanity_check_114_strong\use_cmds\002_Airport_manageUser_createStaff.cmd,True,3,True,6,0,pass,0,1.2346,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\Airport_manageUser_createStaff.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\Airport_manageUser_createStaff.stderr.txt
3,Airport_raiseRepair_approve,Airport,"approve(sid: Integer, rid: Integer, reject: Boolean, suggestion: String): ApprovalHistory",results\oclvm_sanity_check_114_strong\use_models\003_Airport_raiseRepair_approve.use,results\oclvm_sanity_check_114_strong\use_cmds\003_Airport_raiseRepair_approve.cmd,True,3,True,6,0,pass,0,1.2296,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\Airport_raiseRepair_approve.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\Airport_raiseRepair_approve.stderr.txt
4,Airport_raiseRepair_finishRepair,Airport,"finishRepair(id: Integer, sid: Integer, did: Integer, res: String): Boolean",results\oclvm_sanity_check_114_strong\use_models\004_Airport_raiseRepair_finishRepair.use,results\oclvm_sanity_check_114_strong\use_cmds\004_Airport_raiseRepair_finishRepair.cmd,True,3,True,6,0,pass,0,1.2257,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\Airport_raiseRepair_finishRepair.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\Airport_raiseRepair_finishRepair.stderr.txt
5,Airport_raiseRepair_feedback,Airport,"feedback(id: Integer, sid: Integer, score: Integer, des: String): Boolean",results\oclvm_sanity_check_114_strong\use_models\005_Airport_raiseRepair_feedback.use,results\oclvm_sanity_check_114_strong\use_cmds\005_Airport_raiseRepair_feedback.cmd,True,2,True,6,0,pass,0,1.2257,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\Airport_raiseRepair_feedback.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\Airport_raiseRepair_feedback.stderr.txt
6,AutomatedTellerMachine_checkBalance_inputCard,ATM,inputCard(cardid: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\006_AutomatedTellerMachine_checkBalance_inputCard.use,results\oclvm_sanity_check_114_strong\use_cmds\006_AutomatedTellerMachine_checkBalance_inputCard.cmd,True,1,True,4,2,pass,0,1.2111,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_checkBalance_inputCard.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_checkBalance_inputCard.stderr.txt
7,AutomatedTellerMachine_checkBalance_inputPassword,ATM,inputPassword(password: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\007_AutomatedTellerMachine_checkBalance_inputPassword.use,results\oclvm_sanity_check_114_strong\use_cmds\007_AutomatedTellerMachine_checkBalance_inputPassword.cmd,True,2,True,4,2,pass,0,1.2467,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_checkBalance_inputPassword.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_checkBalance_inputPassword.stderr.txt
8,AutomatedTellerMachine_checkBalance_checkBalance,ATM,checkBalance(): Real,results\oclvm_sanity_check_114_strong\use_models\008_AutomatedTellerMachine_checkBalance_checkBalance.use,results\oclvm_sanity_check_114_strong\use_cmds\008_AutomatedTellerMachine_checkBalance_checkBalance.cmd,True,1,True,4,2,pass,0,1.2064,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_checkBalance_checkBalance.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_checkBalance_checkBalance.stderr.txt
9,AutomatedTellerMachine_checkBalance_ejectCard,ATM,ejectCard(): Boolean,results\oclvm_sanity_check_114_strong\use_models\009_AutomatedTellerMachine_checkBalance_ejectCard.use,results\oclvm_sanity_check_114_strong\use_cmds\009_AutomatedTellerMachine_checkBalance_ejectCard.cmd,True,1,True,4,2,pass,0,1.2357,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_checkBalance_ejectCard.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_checkBalance_ejectCard.stderr.txt
10,AutomatedTellerMachine_depositFunds_inputCard,ATM,inputCard(cardid: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\010_AutomatedTellerMachine_depositFunds_inputCard.use,results\oclvm_sanity_check_114_strong\use_cmds\010_AutomatedTellerMachine_depositFunds_inputCard.cmd,True,1,True,4,2,pass,0,1.235,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_depositFunds_inputCard.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_depositFunds_inputCard.stderr.txt
11,AutomatedTellerMachine_depositFunds_inputPassword,ATM,inputPassword(password: Integer): Boolean,results\oclvm_sanity_check_114_strong\use_models\011_AutomatedTellerMachine_depositFunds_inputPassword.use,results\oclvm_sanity_check_114_strong\use_cmds\011_AutomatedTellerMachine_depositFunds_inputPassword.cmd,True,2,True,4,2,pass,0,1.2334,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_depositFunds_inputPassword.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_depositFunds_inputPassword.stderr.txt
12,AutomatedTellerMachine_depositFunds_depositFunds,ATM,depositFunds(quantity: Real): Boolean,results\oclvm_sanity_check_114_strong\use_models\012_AutomatedTellerMachine_depositFunds_depositFunds.use,results\oclvm_sanity_check_114_strong\use_cmds\012_AutomatedTellerMachine_depositFunds_depositFunds.cmd,True,1,True,4,2,pass,0,1.2372,semantic_load_only,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_depositFunds_depositFunds.stdout.txt,results\oclvm_sanity_check_114_strong\use_runs\AutomatedTellerMachine_depositFunds_depositFunds.stderr.txt
