model,case_study,error_type,count,percentage
qwen3-coder-flash,ATM,empty_response,28,65.1163
qwen3-coder-flash,ATM,missing_context,15,34.8837
qwen3-coder-flash,Airport,empty_response,5,20.0000
qwen3-coder-flash,Airport,missing_context,20,80.0000
qwen3-coder-flash,CoCoME,empty_response,28,35.8974
qwen3-coder-flash,CoCoME,missing_context,50,64.1026
qwen3-coder-flash,Library Management,empty_response,46,69.6970
qwen3-coder-flash,Library Management,missing_context,20,30.3030
qwen3-coder-flash,Loan Processing,empty_response,40,48.1928
qwen3-coder-flash,Loan Processing,missing_context,43,51.8072
