model,stage,error_type,count
gpt-5.4,Contract Generator,contract_parse_error,47
gpt-5.4,TypeScript Generator,typescript_generation_error,17
gpt-5.4,TypeScript Parser,typescript_parse_error,106
gpt-5.4-mini,Contract Generator,contract_parse_error,71
gpt-5.4-mini,TypeScript Generator,typescript_generation_error,82
gpt-5.4-mini,TypeScript Parser,typescript_parse_error,72
claude-opus-4-7,Contract Generator,contract_parse_error,36
claude-opus-4-7,TypeScript Generator,typescript_generation_error,5
claude-opus-4-7,TypeScript Parser,typescript_parse_error,43
qwen3-coder-plus,Contract Generator,contract_parse_error,152
qwen3-coder-plus,TypeScript Generator,typescript_generation_error,46
qwen3-coder-plus,TypeScript Parser,typescript_parse_error,105
qwen3-coder-flash,Contract Generator,contract_parse_error,368
qwen3-coder-flash,TypeScript Generator,typescript_generation_error,308
qwen3-coder-flash,TypeScript Parser,typescript_parse_error,230
