model,case_study,error_type,count,percentage
qwen3-coder-flash,ATM,llm_api_error,6,85.7143
qwen3-coder-flash,ATM,missing_context,1,14.2857
qwen3-coder-flash,CoCoME,llm_api_error,20,76.9231
qwen3-coder-flash,CoCoME,missing_context,5,19.2308
qwen3-coder-flash,CoCoME,parser_internal_error,1,3.8462
qwen3-coder-flash,Library Management,llm_api_error,9,81.8182
qwen3-coder-flash,Library Management,missing_context,2,18.1818
qwen3-coder-flash,Loan Processing,llm_api_error,3,50.0000
qwen3-coder-flash,Loan Processing,missing_context,2,33.3333
qwen3-coder-flash,Loan Processing,parser_internal_error,1,16.6667
